City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
276,Ushtobe,KZ,72.18,overcast clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
279,Bartica,GY,82.72,scattered clouds,6.4,-58.6167,Sloth Island Nature Resort
280,Conceicao Do Araguaia,BR,81.75,few clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
281,Samarai,PG,78.46,overcast clouds,-10.6167,150.6667,Nuli Sapi
282,Waseca,US,78.24,overcast clouds,44.0777,-93.5074,American Motel
287,Kaseda,JP,84.02,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
289,Bonthe,SL,76.12,light rain,7.5264,-12.505,Bonthe Holiday Village
290,Surt,LY,80.91,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
291,Pacific Grove,US,85.55,clear sky,36.6177,-121.9166,Lovers Point Inn
292,Mogadishu,SO,75.2,scattered clouds,2.0371,45.3438,Hotel Juba
294,Chandausi,IN,81.21,clear sky,28.45,78.7667,GUPTA GUEST HOUSE CHANDAUSI
297,Kutum,SD,75.52,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
300,Ambulu,ID,74.66,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
303,Shimoda,JP,81.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
307,Turayf,SA,80.85,clear sky,31.6725,38.6637,Turaif
310,Kuala Selangor,MY,80.8,broken clouds,3.35,101.25,Apps Hotel
312,Williamsburg,US,81.91,broken clouds,37.2707,-76.7075,Comfort Suites Williamsburg Historic Area
313,Doha,QA,94.98,clear sky,25.2867,51.5333,Doha Marriott Hotel
315,El Carmen De Bolivar,CO,79.34,broken clouds,9.7174,-75.1202,Donde Mery
317,Owase,JP,79.99,light rain,34.0667,136.2,Business Hotel Phoenix
318,Inirida,CO,75.11,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
320,Danjiangkou,CN,83.21,clear sky,32.5428,111.5086,Dongsheng Guesthouse
322,Kanniyakumari,IN,79.02,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
323,Cabo Rojo,PR,84.72,overcast clouds,18.0866,-67.1457,Hotel Perichi's
326,Lompoc,US,76.84,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
328,Aras,ES,72.01,clear sky,42.5617,-2.356,Jardines de Viana Spa
329,Izumo,JP,82.29,broken clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
331,Palladam,IN,73.49,broken clouds,10.9833,77.3,SA Residency
334,Majenang,ID,73.49,broken clouds,-7.2975,108.7642,Bpk.Yuswoyo Family
339,Komsomolskiy,UZ,74.12,few clouds,40.4272,71.7189,Ikathouse
341,Miyako,JP,75.81,light rain,39.6367,141.9525,Hotel Route Inn Miyako
342,Kismayo,SO,74.53,light rain,-0.3582,42.5454,Agan-Hotel
350,Camargo,MX,93.74,clear sky,27.6667,-105.1667,Hotel Santa Fe
351,Touros,BR,75.69,few clouds,-5.1989,-35.4608,INN NEW HORIZON
352,Lazaro Cardenas,MX,84.24,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
353,Benghazi,LY,80.64,clear sky,32.1167,20.0667,Tibesti Hotel
354,Mankono,CI,75.81,overcast clouds,8.0586,-6.1897,Hôtel cotonputeur
355,Hede,CN,82.31,overcast clouds,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
356,Tomigusuku,JP,83.97,broken clouds,26.185,127.675,Hotel Gran View Okinawa
357,Kalmunai,LK,78.66,overcast clouds,7.4167,81.8167,VS Villa
359,Natal,BR,79.02,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
361,Manicore,BR,84.15,few clouds,-5.8092,-61.3003,Hotel Durval
362,Alyangula,AU,74.71,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
363,Dingle,PH,78.49,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
364,Ternate,ID,81.05,scattered clouds,0.8,127.4,Sahid Bela Ternate Hotel
365,Elizabeth City,US,86.02,few clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
368,Victoria,HK,81.32,overcast clouds,22.2855,114.1577,Mini Central
369,Thompson,CA,78.96,few clouds,55.7435,-97.8558,Burntwood Hotel
370,Rodez,FR,80.28,clear sky,44.5,2.5833,L'Auberge du Château
371,Tarakan,ID,76.5,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
372,Boca Do Acre,BR,78.48,scattered clouds,-8.7522,-67.3978,Hotel Sao Pedro
373,Gat,IL,79.81,clear sky,31.61,34.7642,OlusHome
377,Biograd Na Moru,HR,79.75,scattered clouds,43.9433,15.4519,Villa Maimare
378,Morehead,US,83.95,clear sky,37.2711,-87.1764,CCI Express Inn
380,Gushikawa,JP,83.43,light rain,26.3544,127.8686,Kirari Guest House
383,Naliya,IN,81.3,overcast clouds,23.2667,68.8333,jadeja jayendrasinh
384,Russell,US,82.0,scattered clouds,32.3502,-85.1999,Macs
386,Peoria,US,82.49,scattered clouds,40.7667,-89.7668,Wildlife Prairie Park
387,Koumac,NC,71.91,clear sky,-20.5667,164.2833,Le Monitel
388,Gibraltar,GI,76.95,few clouds,36.1447,-5.3526,The Caleta Hotel Gibraltar
392,Veraval,IN,80.85,overcast clouds,20.9,70.3667,Lords Inn Somnath
393,Salalah,OM,77.09,mist,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
