City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
161,Oltu,TR,40.5498,42.0013,63.63,96,3,2.64,clear sky
162,Dalvik,IS,65.9702,-18.5286,49.93,79,87,2.08,overcast clouds
163,East London,ZA,-33.0153,27.9116,63.3,76,85,4.59,overcast clouds
164,Shepsi,RU,44.0361,39.1489,75.27,84,19,7.16,few clouds
165,Bethel,US,41.3712,-73.414,88.65,52,0,4.61,clear sky
166,Cantanhede,BR,-3.6333,-44.3767,78.6,77,35,7.25,scattered clouds
167,Matara,LK,5.9485,80.5353,76.75,92,87,8.39,overcast clouds
168,Saint George,US,37.1041,-113.5841,93.79,37,0,21.99,clear sky
169,Kodiak,US,57.79,-152.4072,56.71,88,100,6.91,mist
170,Qasigiannguit,GL,68.8193,-51.1922,41.25,89,94,2.8,overcast clouds
171,Boyuibe,BO,-20.4167,-63.2833,57.13,40,0,4.32,clear sky
172,Padang,ID,-0.9492,100.3543,78.46,88,71,2.51,broken clouds
173,Krasnoselkup,RU,65.7,82.4667,47.82,73,98,4.45,overcast clouds
174,Verkhniye Kigi,RU,55.4083,58.6044,51.28,93,25,3.29,scattered clouds
175,San Cristobal,VE,7.7669,-72.225,82.58,84,86,4.45,overcast clouds
176,El Bagre,CO,7.5927,-74.8086,78.39,97,92,3.06,overcast clouds
177,Yulara,AU,-25.2406,130.9889,48.04,50,0,7.67,clear sky
178,Salinopolis,BR,-0.6136,-47.3561,78.8,84,63,11.95,broken clouds
179,Hualmay,PE,-11.0964,-77.6139,63.34,79,23,10.67,few clouds
180,Caravelas,BR,-17.7125,-39.2481,73.11,68,100,10.8,overcast clouds
181,Ribeira Grande,PT,38.5167,-28.7,74.64,79,84,9.51,broken clouds
182,Poso,ID,-1.3959,120.7524,76.42,88,100,4.34,overcast clouds
183,San Patricio,US,28.017,-97.5169,97.52,66,100,12.97,overcast clouds
184,Clyde River,CA,70.4692,-68.5914,43.03,87,75,8.05,broken clouds
185,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.57,83,12,5.35,few clouds
186,Saint-Pierre,RE,-21.3393,55.4781,66.9,70,0,8.05,clear sky
187,Makakilo City,US,21.3469,-158.0858,84.56,58,75,17.27,broken clouds
188,Nantucket,US,41.2835,-70.0995,71.74,88,100,6.91,overcast clouds
189,Tiksi,RU,71.6872,128.8694,39.63,94,100,10.6,overcast clouds
190,Sao Filipe,CV,14.8961,-24.4956,78.33,79,14,13.33,few clouds
191,San Vicente,AR,-26.6167,-54.1333,50.36,94,34,2.73,scattered clouds
192,Mar Del Plata,AR,-38.0023,-57.5575,56.88,71,0,14.0,clear sky
193,Imbituba,BR,-28.24,-48.6703,60.1,98,70,1.1,broken clouds
194,Vanderhoof,CA,54.0166,-124.0198,87.3,33,44,2.15,scattered clouds
195,Airai,TL,-8.9266,125.4092,60.4,89,52,3.44,broken clouds
196,Carlsbad,US,33.1581,-117.3506,102.34,60,0,14.97,clear sky
197,Ahipara,NZ,-35.1667,173.1667,54.88,63,27,11.39,scattered clouds
198,Olinda,BR,-8.0089,-34.8553,78.53,73,0,5.75,clear sky
199,Arlit,NE,18.7369,7.3853,98.51,13,3,8.16,clear sky
200,Codrington,AU,-38.2667,141.9667,47.88,90,100,4.9,overcast clouds
